news_headline,news_article,news_category,full_text
"Removed 76,967 content pieces in September in India: Google","Google﻿ received 29,842 complaints from individual users located in India and removed 76,967 pieces of content based on those complaints in September, its monthly transparency report showed. It also removed over 4.5 lakh pieces of content as a result of automated detection. The content removal was done under several categories, including copyright, graphic sexual content and court order.",technology,"Removed 76,967 content pieces in September in India: Google. Google﻿ received 29,842 complaints from individual users located in India and removed 76,967 pieces of content based on those complaints in September, its monthly transparency report showed. It also removed over 4.5 lakh pieces of content as a result of automated detection. The content removal was done under several categories, including copyright, graphic sexual content and court order."
"Squid Game-inspired crypto collapses in apparent scam, creators vanish with ₹25 crore","Netflix show 'Squid Game' inspired cryptocurrency 'SQUID' plunged from its peak price of $2,861 to $0 in an apparent scam. Reports said the token's creators ""rug pulled"" SQUID holders by quickly cashing out their coins for real money, draining the liquidity pool from the exchange. The cryptocurrency's website disappeared, with SQUID's creators making off with $3.3 million (around ₹25 crore).",technology,"Squid Game-inspired crypto collapses in apparent scam, creators vanish with ₹25 crore. Netflix show 'Squid Game' inspired cryptocurrency 'SQUID' plunged from its peak price of $2,861 to $0 in an apparent scam. Reports said the token's creators ""rug pulled"" SQUID holders by quickly cashing out their coins for real money, draining the liquidity pool from the exchange. The cryptocurrency's website disappeared, with SQUID's creators making off with $3.3 million (around ₹25 crore)."
Elon Musk now 3 times richer than Warren Buffett with $335 billion wealth,"World's richest person Elon Musk's net worth rose by $24 billion to $335.1 billion on Monday as Tesla's shares surged 8.5% to all-time highs. His fortune is now more than three times that of the world's 10th richest person Warren Buffett, according to the Bloomberg Billionaires Index. The Berkshire Hathaway Chairman has a net worth of $104.1 billion.",technology,"Elon Musk now 3 times richer than Warren Buffett with $335 billion wealth. World's richest person Elon Musk's net worth rose by $24 billion to $335.1 billion on Monday as Tesla's shares surged 8.5% to all-time highs. His fortune is now more than three times that of the world's 10th richest person Warren Buffett, according to the Bloomberg Billionaires Index. The Berkshire Hathaway Chairman has a net worth of $104.1 billion."
"App accuses Meta of copying its logo, shares image comparing the two logos","A Berlin-based migraine app has accused Mark Zuckerberg of copying the app's logo for Facebook's new company identity 'Meta'. The 'M-sense Migräne' app's Twitter handle tweeted, ""We're honoured that Facebook felt inspired by our logo - maybe they'll get inspired by our data privacy procedures as well."" The app helps users find the relevant triggers of their migraine attacks.",technology,"App accuses Meta of copying its logo, shares image comparing the two logos. A Berlin-based migraine app has accused Mark Zuckerberg of copying the app's logo for Facebook's new company identity 'Meta'. The 'M-sense Migräne' app's Twitter handle tweeted, ""We're honoured that Facebook felt inspired by our logo - maybe they'll get inspired by our data privacy procedures as well."" The app helps users find the relevant triggers of their migraine attacks."
"'Squid Game' crypto that hit $2,862 after 2,30,000% gain now less than half a cent","Netflix show 'Squid Game' inspired cryptocurrency 'SQUID', that surged more than 2,30,000% in the past week to hit $2,861.80, plunged to less than half a cent as of Monday in New York. It plunged 99.99% in the last 24 hours. The cryptocurrency's website, which said, ""please do your own due diligence and exercise extreme caution,"" is no longer accessible. ",technology,"'Squid Game' crypto that hit $2,862 after 2,30,000% gain now less than half a cent. Netflix show 'Squid Game' inspired cryptocurrency 'SQUID', that surged more than 2,30,000% in the past week to hit $2,861.80, plunged to less than half a cent as of Monday in New York. It plunged 99.99% in the last 24 hours. The cryptocurrency's website, which said, ""please do your own due diligence and exercise extreme caution,"" is no longer accessible. "
WhatsApp banned over 22 lakh Indian accounts in September 2021,"WhatsApp banned over 22 lakh Indian accounts in September 2021, according to the messaging platform's latest compliance report released on Monday. WhatsApp detailed user complaints as well as its own preventive actions to combat abuse on the platform. Previously, WhatsApp said that over 95% of such bans are due to the unauthorised use of automated or bulk messaging (spam).",technology,"WhatsApp banned over 22 lakh Indian accounts in September 2021. WhatsApp banned over 22 lakh Indian accounts in September 2021, according to the messaging platform's latest compliance report released on Monday. WhatsApp detailed user complaints as well as its own preventive actions to combat abuse on the platform. Previously, WhatsApp said that over 95% of such bans are due to the unauthorised use of automated or bulk messaging (spam)."
"SpaceX sets up subsidiary in India, plans to launch satellite broadband services","World's richest person Elon Musk's SpaceX on Monday set up a 100% owned subsidiary in India with the name SSCPL - Starlink Satellite Communications Private Limited. ""We can now start applying for licences and open bank accounts,"" Sanjay Bhargava, SpaceX's Starlink Country Director India, said. SpaceX's satellite broadband arm Starlink aims to start broadband services in India from December 2022.",technology,"SpaceX sets up subsidiary in India, plans to launch satellite broadband services. World's richest person Elon Musk's SpaceX on Monday set up a 100% owned subsidiary in India with the name SSCPL - Starlink Satellite Communications Private Limited. ""We can now start applying for licences and open bank accounts,"" Sanjay Bhargava, SpaceX's Starlink Country Director India, said. SpaceX's satellite broadband arm Starlink aims to start broadband services in India from December 2022."
"Apple's India profit rose 32% in FY21, operations revenue grew 68%","Apple's net profit from India rose 32% to ₹1,226 crore, and revenue from operations grew 68% in the fiscal year ended March 2021, Apple's RoC filings showed. Apple India posted revenue from operations of ₹22,845 crore for the year. Earlier, Apple CEO Tim Cook had revealed that the firm doubled its business in India in FY2021.",technology,"Apple's India profit rose 32% in FY21, operations revenue grew 68%. Apple's net profit from India rose 32% to ₹1,226 crore, and revenue from operations grew 68% in the fiscal year ended March 2021, Apple's RoC filings showed. Apple India posted revenue from operations of ₹22,845 crore for the year. Earlier, Apple CEO Tim Cook had revealed that the firm doubled its business in India in FY2021."
ByteDance CFO to step down to focus on role as TikTok CEO: Reports,"ByteDance CFO Shou Zi Chew will be stepping down to focus on his role as CEO of TikTok, media reports said citing an internal memo. Chew joined ByteDance as CFO in March and was appointed as TikTok CEO in April. The move is reportedly part of a broader reorganisation within ByteDance in which six business units have been created.",technology,"ByteDance CFO to step down to focus on role as TikTok CEO: Reports. ByteDance CFO Shou Zi Chew will be stepping down to focus on his role as CEO of TikTok, media reports said citing an internal memo. Chew joined ByteDance as CFO in March and was appointed as TikTok CEO in April. The move is reportedly part of a broader reorganisation within ByteDance in which six business units have been created."
Apple cuts iPad production to allocate parts to iPhone 13: Report,"Apple has cut back production of iPad tablets to allocate more components to the iPhone 13, Nikkei reported. The report added that iPad's production was down 50% from Apple's original plans for the past two months, adding parts intended for older iPhones were also being directed towards iPhone 13. Apple is currently prioritising iPhone 13 because of higher demand.",technology,"Apple cuts iPad production to allocate parts to iPhone 13: Report. Apple has cut back production of iPad tablets to allocate more components to the iPhone 13, Nikkei reported. The report added that iPad's production was down 50% from Apple's original plans for the past two months, adding parts intended for older iPhones were also being directed towards iPhone 13. Apple is currently prioritising iPhone 13 because of higher demand."
Apple working on tool to let iPhones auto-dial 911 after accidents: WSJ,"Apple is working on a car crash detection feature for iPhone and Apple Watch that will allow the devices to auto-dial 911 in case of accidents in the US, The Wall Street Journal reported. The feature uses data from sensors built into Apple devices including the accelerometer to detect car accidents. The feature could arrive in early 2022.",technology,"Apple working on tool to let iPhones auto-dial 911 after accidents: WSJ. Apple is working on a car crash detection feature for iPhone and Apple Watch that will allow the devices to auto-dial 911 in case of accidents in the US, The Wall Street Journal reported. The feature uses data from sensors built into Apple devices including the accelerometer to detect car accidents. The feature could arrive in early 2022."
Permission to call Meta whistleblowers to India being sought: Tharoor,"Congress MP Shashi Tharoor said the Parliamentary Standing Committee on IT is seeking permission from Lok Sabha Speaker to call Meta (formerly Facebook) whistleblowers to India this month. ""Under our procedures videoconferencing is not permitted. Testimony in person by witnesses from abroad requires the Speaker's consent,"" Tharoor said. He added that Committee will hold meetings on November 16-17.",technology,"Permission to call Meta whistleblowers to India being sought: Tharoor. Congress MP Shashi Tharoor said the Parliamentary Standing Committee on IT is seeking permission from Lok Sabha Speaker to call Meta (formerly Facebook) whistleblowers to India this month. ""Under our procedures videoconferencing is not permitted. Testimony in person by witnesses from abroad requires the Speaker's consent,"" Tharoor said. He added that Committee will hold meetings on November 16-17."
Message traceability won't break social media platforms' encryption: Govt,"The government has released ""Frequently Asked Questions (FAQs)"" about the new IT Rules that came into effect on May 26. It clarified that detecting the first originator of a message will not ""break or weaken"" the encryption of social media platforms. ""The electronic replica of the message...will be shared by the requesting agency along with a lawful order,"" it said.",technology,"Message traceability won't break social media platforms' encryption: Govt. The government has released ""Frequently Asked Questions (FAQs)"" about the new IT Rules that came into effect on May 26. It clarified that detecting the first originator of a message will not ""break or weaken"" the encryption of social media platforms. ""The electronic replica of the message...will be shared by the requesting agency along with a lawful order,"" it said."
Tesla opens charging network to other electric cars for first time,"Tesla is launching a pilot programme in the Netherlands that will open its charging network to non-Tesla electric vehicles (EVs). Initially, 10 locations will be opened to non-Tesla EV drivers, who will be able to access Superchargers through Tesla app. This will mark the first time that Tesla is opening up its proprietary charging stations to EVs from other companies.",technology,"Tesla opens charging network to other electric cars for first time. Tesla is launching a pilot programme in the Netherlands that will open its charging network to non-Tesla electric vehicles (EVs). Initially, 10 locations will be opened to non-Tesla EV drivers, who will be able to access Superchargers through Tesla app. This will mark the first time that Tesla is opening up its proprietary charging stations to EVs from other companies."
Mana token jumps 300% in days after Facebook changes name to Meta,"Decentraland's Mana token surged nearly 300% over the weekend after Facebook announced that it was changing its name to Meta. The price of Mana hit an all-time high of $4.16 on Sunday and was trading around $3.4 on Monday. Mana is the native digital token of Decentraland, a self-proclaimed metaverse platform where users can buy and sell virtual properties.",technology,"Mana token jumps 300% in days after Facebook changes name to Meta. Decentraland's Mana token surged nearly 300% over the weekend after Facebook announced that it was changing its name to Meta. The price of Mana hit an all-time high of $4.16 on Sunday and was trading around $3.4 on Monday. Mana is the native digital token of Decentraland, a self-proclaimed metaverse platform where users can buy and sell virtual properties."
England beat Sri Lanka to virtually qualify for T20 World Cup 2021 semi-finals,England defeated Sri Lanka in Super 12 stage Group 1 match today to register their fourth straight victory and virtually qualify for the T20 World Cup 2021 semi-finals. England are on top of the points table with 8 points and a net run-rate of 3.183. Sri Lanka have now lost three matches in the tournament.,sports,England beat Sri Lanka to virtually qualify for T20 World Cup 2021 semi-finals. England defeated Sri Lanka in Super 12 stage Group 1 match today to register their fourth straight victory and virtually qualify for the T20 World Cup 2021 semi-finals. England are on top of the points table with 8 points and a net run-rate of 3.183. Sri Lanka have now lost three matches in the tournament.
"Ashwin's exclusion from team a mystery, should be investigated: Vengsarkar","Former India captain Dilip Vengsarkar has said that Ravichandran Ashwin's exclusion from Team India's playing XI in the ongoing T20 World Cup 2021 is a mystery. ""Why is Ashwin being so dropped for so long? It is a matter of investigation,"" he added. ""He didn't play a single game in the England Test series also,"" stated Vengsarkar.",sports,"Ashwin's exclusion from team a mystery, should be investigated: Vengsarkar. Former India captain Dilip Vengsarkar has said that Ravichandran Ashwin's exclusion from Team India's playing XI in the ongoing T20 World Cup 2021 is a mystery. ""Why is Ashwin being so dropped for so long? It is a matter of investigation,"" he added. ""He didn't play a single game in the England Test series also,"" stated Vengsarkar."
KL Rahul likely to captain India in T20I series against New Zealand: Reports,"Wicketkeeper-batsman KL Rahul is likely to captain India in the T20I series against New Zealand, which will take place following the conclusion of T20 World Cup, reports said. Senior players including Virat Kohli and Rohit Sharma are likely to be rested for the series and Rahul is ""almost certain"" to lead, a BCCI official was quoted as saying by ANI.",sports,"KL Rahul likely to captain India in T20I series against New Zealand: Reports. Wicketkeeper-batsman KL Rahul is likely to captain India in the T20I series against New Zealand, which will take place following the conclusion of T20 World Cup, reports said. Senior players including Virat Kohli and Rohit Sharma are likely to be rested for the series and Rahul is ""almost certain"" to lead, a BCCI official was quoted as saying by ANI."
How can defending champs West Indies still reach semi-finals of T20 World Cup 2021?,"Defending champions West Indies are fifth on T20 World Cup 2021 Super 12 Group 1 table with two points. West Indies would need to win their remaining two matches with big margins. If South Africa lose a match, West Indies, Australia and South Africa could finish on six points each and team with superior net run-rate would qualify for semi-finals.",sports,"How can defending champs West Indies still reach semi-finals of T20 World Cup 2021?. Defending champions West Indies are fifth on T20 World Cup 2021 Super 12 Group 1 table with two points. West Indies would need to win their remaining two matches with big margins. If South Africa lose a match, West Indies, Australia and South Africa could finish on six points each and team with superior net run-rate would qualify for semi-finals."
"God decides your destiny, I will be back on pitch hopefully in February: Yuvraj","Yuvraj Singh, who announced his retirement from BCCI cricket in 2019, took to Instagram to share that he'll be back on the pitch hopefully in February on public demand. ""God decides your destiny...Ain't nothing like this feeling!"" he wrote. The 39-year-old also urged fans to keep supporting Team India, saying, ""A true fan will show...support in tough times.""",sports,"God decides your destiny, I will be back on pitch hopefully in February: Yuvraj. Yuvraj Singh, who announced his retirement from BCCI cricket in 2019, took to Instagram to share that he'll be back on the pitch hopefully in February on public demand. ""God decides your destiny...Ain't nothing like this feeling!"" he wrote. The 39-year-old also urged fans to keep supporting Team India, saying, ""A true fan will show...support in tough times."""
"Kohli's 9-month-old daughter gets rape threats online, DCW seeks police report","Delhi Commission for Women (DCW) has taken suo-motu cognisance on reports of online rape threats to Team India captain Virat Kohli's 9-month-old daughter following India-Pakistan T20 World Cup 2021 match. The DCW has asked Deputy Commissioner of Police to provide them with a copy of FIR, details of accused identified and arrested, and detailed action taken report by November 8.",sports,"Kohli's 9-month-old daughter gets rape threats online, DCW seeks police report. Delhi Commission for Women (DCW) has taken suo-motu cognisance on reports of online rape threats to Team India captain Virat Kohli's 9-month-old daughter following India-Pakistan T20 World Cup 2021 match. The DCW has asked Deputy Commissioner of Police to provide them with a copy of FIR, details of accused identified and arrested, and detailed action taken report by November 8."
"Lalit Modi asks BCCI to disqualify CVC Capital as team owners, threatens to sue","Ex-IPL chairman Lalit Modi asked BCCI to disqualify CVC Capital as Ahmedabad IPL team owners, saying they are a betting company. ""They should be disqualified. I thought we had a zero tolerance for fixing. It shows clearly now you don't,"" he said. He further said he'll sue BCCI for ""wilful negligence"" if CVC Capital are allowed to own the team.",sports,"Lalit Modi asks BCCI to disqualify CVC Capital as team owners, threatens to sue. Ex-IPL chairman Lalit Modi asked BCCI to disqualify CVC Capital as Ahmedabad IPL team owners, saying they are a betting company. ""They should be disqualified. I thought we had a zero tolerance for fixing. It shows clearly now you don't,"" he said. He further said he'll sue BCCI for ""wilful negligence"" if CVC Capital are allowed to own the team."
It's a privilege to have Buttler in our team: Morgan after win vs SL,"England captain Eoin Morgan has praised Jos Buttler, who remained unbeaten at 101 runs against Sri Lanka to help them secure their fourth straight victory in the ongoing T20 World Cup. ""It's a privilege to have Buttler in our team...[he] played one of his best-ever innings in an England shirt,"" Morgan stated. Buttler's century helped England post 163 runs. ",sports,"It's a privilege to have Buttler in our team: Morgan after win vs SL. England captain Eoin Morgan has praised Jos Buttler, who remained unbeaten at 101 runs against Sri Lanka to help them secure their fourth straight victory in the ongoing T20 World Cup. ""It's a privilege to have Buttler in our team...[he] played one of his best-ever innings in an England shirt,"" Morgan stated. Buttler's century helped England post 163 runs. "
Win against India gave us the momentum: Pakistan's Shoaib Malik,"Pakistan all-rounder Shoaib Malik has said that their win against India in their T20 World Cup opener gave them ""momentum"" in the tournament. ""When you start your tournament...against a big team and then you win that game, then...momentum and everything comes,"" he stated. After their match against India, Pakistan defeated New Zealand and Afghanistan. ",sports,"Win against India gave us the momentum: Pakistan's Shoaib Malik. Pakistan all-rounder Shoaib Malik has said that their win against India in their T20 World Cup opener gave them ""momentum"" in the tournament. ""When you start your tournament...against a big team and then you win that game, then...momentum and everything comes,"" he stated. After their match against India, Pakistan defeated New Zealand and Afghanistan. "
Happy with the way boys are fighting in World Cup: SL captain Shanaka,"After their defeat against England in the T20 World Cup, Sri Lanka captain Dasun Shanaka said it's the first World Cup for most of their players and he's happy with the way his side is fighting. ""Six months back, we were not the same team. We were out of the competition, but these boys came a long way,"" Shanaka added.",sports,"Happy with the way boys are fighting in World Cup: SL captain Shanaka. After their defeat against England in the T20 World Cup, Sri Lanka captain Dasun Shanaka said it's the first World Cup for most of their players and he's happy with the way his side is fighting. ""Six months back, we were not the same team. We were out of the competition, but these boys came a long way,"" Shanaka added."
Haven't seen Rishabh Pant performing role of finisher: Aakash,"Commentator Aakash Chopra has said that India are lacking form in the finishing department in the ongoing T20 World Cup. ""Hardik Pandya has hardly scored runs in 2021...Rishabh Pant plays like a top-order batter. Even in IPL...where did he play the role of a finisher in any of the matches? I cannot recall any game,"" he stated.",sports,"Haven't seen Rishabh Pant performing role of finisher: Aakash. Commentator Aakash Chopra has said that India are lacking form in the finishing department in the ongoing T20 World Cup. ""Hardik Pandya has hardly scored runs in 2021...Rishabh Pant plays like a top-order batter. Even in IPL...where did he play the role of a finisher in any of the matches? I cannot recall any game,"" he stated."
Dhoni is to India what Morgan is to England: Dinesh Karthik ,"With England registering four wins in as many games in the ongoing T20 World Cup, India wicketkeeper-batter Dinesh Karthik tweeted, ""MS Dhoni is to India what Eoin Morgan is to England."" He further said, ""The team to beat this T20 World Cup is England."" Under Morgan's captaincy, KKR also played the final against CSK in the recently-concluded IPL 2021. ",sports,"Dhoni is to India what Morgan is to England: Dinesh Karthik . With England registering four wins in as many games in the ongoing T20 World Cup, India wicketkeeper-batter Dinesh Karthik tweeted, ""MS Dhoni is to India what Eoin Morgan is to England."" He further said, ""The team to beat this T20 World Cup is England."" Under Morgan's captaincy, KKR also played the final against CSK in the recently-concluded IPL 2021. "
It seemed that India didn't have a plan or a plan B vs NZ: Hogg,"Ex-Australia spinner Brad Hogg has said India didn't seem to have a ""plan or a plan B"" during their defeat against New Zealand in the T20 World Cup. ""India...rely on the top three to play long and that's why I was disappointed that they suddenly changed their top order,"" he added. India will next face Afghanistan on November 3. ",sports,"It seemed that India didn't have a plan or a plan B vs NZ: Hogg. Ex-Australia spinner Brad Hogg has said India didn't seem to have a ""plan or a plan B"" during their defeat against New Zealand in the T20 World Cup. ""India...rely on the top three to play long and that's why I was disappointed that they suddenly changed their top order,"" he added. India will next face Afghanistan on November 3. "
Afghanistan cricket is in very safe hands: Asghar after retirement,"After retiring from all formats of cricket in between T20 World Cup 2021, Asghar Afghan said that Afghanistan's cricket is in ""safe hands"" and their cricket will ""definitely improve"". ""I believe that Afghanistan cricket will improve more day by day, and trust me that will show,"" he said. Afghanistan's match against Namibia was Asghar's last. Asghar scored 4,246 international runs.",sports,"Afghanistan cricket is in very safe hands: Asghar after retirement. After retiring from all formats of cricket in between T20 World Cup 2021, Asghar Afghan said that Afghanistan's cricket is in ""safe hands"" and their cricket will ""definitely improve"". ""I believe that Afghanistan cricket will improve more day by day, and trust me that will show,"" he said. Afghanistan's match against Namibia was Asghar's last. Asghar scored 4,246 international runs."
"Not just Kohli, whole team and coaches have failed in T20 WC: Azharuddin","Commenting on India skipper Virat Kohli facing criticism after his side's second straight defeat in T20 World Cup, ex-India skipper Mohammed Azharuddin said, ""Kohli is facing criticism but it's the entire team and...coaches that have failed and not just one man."" He added, ""It turned out to be a scary Halloween for Indian fans."" New Zealand defeated India on Sunday.",sports,"Not just Kohli, whole team and coaches have failed in T20 WC: Azharuddin. Commenting on India skipper Virat Kohli facing criticism after his side's second straight defeat in T20 World Cup, ex-India skipper Mohammed Azharuddin said, ""Kohli is facing criticism but it's the entire team and...coaches that have failed and not just one man."" He added, ""It turned out to be a scary Halloween for Indian fans."" New Zealand defeated India on Sunday."
I was pleased as a fan: Nasser as England defend total after losing toss,"Ex-England captain Nasser Hussain has said he was ""pleased as a fan"" after England defended their 163-run total against Sri Lanka after losing the toss at the Sharjah Cricket Stadium. ""Everything they needed ticking for the challenges ahead, they've got out of [their match against SL],"" Nasser stated. ""It's proof that...you can win even with a wet ball,"" he added. ",sports,"I was pleased as a fan: Nasser as England defend total after losing toss. Ex-England captain Nasser Hussain has said he was ""pleased as a fan"" after England defended their 163-run total against Sri Lanka after losing the toss at the Sharjah Cricket Stadium. ""Everything they needed ticking for the challenges ahead, they've got out of [their match against SL],"" Nasser stated. ""It's proof that...you can win even with a wet ball,"" he added. "
I've noticed that leg-spinners are being successful against India: Tendulkar,"Talking about India's performance in the T20 World Cup, Sachin Tendulkar said Virat Kohli-led side is facing difficulty in tackling leg-spinners. ""Leg-spinners, who are mixing their deliveries, bowling googlies, top-spin, flipper, and normal leg-spin, have been successful in the recent past against India,"" he stated. NZ leg-spinner Ish Sodhi was named 'Man of the Match' against India.",sports,"I've noticed that leg-spinners are being successful against India: Tendulkar. Talking about India's performance in the T20 World Cup, Sachin Tendulkar said Virat Kohli-led side is facing difficulty in tackling leg-spinners. ""Leg-spinners, who are mixing their deliveries, bowling googlies, top-spin, flipper, and normal leg-spin, have been successful in the recent past against India,"" he stated. NZ leg-spinner Ish Sodhi was named 'Man of the Match' against India."
England's Chris Woakes is underrated in T20 cricket: Ajit Agarkar,"Ajit Agarkar has opined that Chris Woakes is ""underrated"" in T20 cricket because of the ""stars"" the England team have. ""Woakes is a handful...and he picks wickets,"" Agarkar said. He added Woakes doesn't look ""threatening"" but does take ""a lot of"" wickets. Woakes scalped four wickets in three matches in the ongoing T20 World Cup with an economy of 4.7.",sports,"England's Chris Woakes is underrated in T20 cricket: Ajit Agarkar. Ajit Agarkar has opined that Chris Woakes is ""underrated"" in T20 cricket because of the ""stars"" the England team have. ""Woakes is a handful...and he picks wickets,"" Agarkar said. He added Woakes doesn't look ""threatening"" but does take ""a lot of"" wickets. Woakes scalped four wickets in three matches in the ongoing T20 World Cup with an economy of 4.7."
